squirrel_id,grid,locx,locy,year,sex,survived,survived2,survived3,all_litters_fit,mast,social_survival,social_survival2,social_survival3,social_repro,age,std_soc_repro,std_soc_surv,std_soc_surv2,std_soc_surv3
1218,KL,2.5,0,1991,F,0,-1,-0.5,0,n,1.505928854,-0.98715415,0.259387352,1.7756917,4,-0.007655651,-0.08139561,0.544207378,0.271729475
1219,KL,9,10,1991,F,0,-1,-0.5,0,n,1.133399209,-0.527667984,0.302865613,1.031620553,3,-0.87693654,-0.825064944,1.693638932,0.405395754
1220,KL,6,3,1991,F,0,-1,-0.5,0,n,1.899209486,-1.010869565,0.44416996,1.745059289,2,-0.043442779,0.703698275,0.484881879,0.83981116
1319,KL,4,7,1991,F,1,0,0.5,0,n,1.774703557,-1.356719368,0.208992095,2.248023715,5,0.544158779,0.455150964,-0.380281656,0.116798106
1320,KL,12,2,1991,F,1,0,0.5,0,n,0.773715415,-1.003952569,-0.115118577,0.873517787,1,-1.061644299,-1.543090507,0.50218515,-0.879623246
1321,KL,5,10,1991,F,1,0,0.5,0,n,1.231225296,-1.164031621,0.033596838,1.570158103,5,-0.247775737,-0.629777772,0.101738028,-0.422423814
1397,KL,1,5.5,1991,F,1,0,0.5,2,n,2.469367589,-1.432806324,0.518280632,2.037549407,5,0.298266575,1.841887149,-0.570617634,1.067651409
1421,KL,6.5,0,1991,F,1,0,0.5,0,n,1.023715415,-1.350790514,-0.163537549,1.212450593,1,-0.665677041,-1.044023289,-0.365450281,-1.028478875
1574,KL,9,5,1991,F,1,0,0.5,2,n,1.177865613,-1.175889328,0.000988142,0.672924901,3,-1.295992268,-0.736298047,0.072075278,-0.522673524
1740,KL,-4,1.5,1991,F,1,0,0.5,2,n,1.085968379,-1.814229249,-0.364130435,1.850790514,3,0.080080535,-0.919749634,-1.524769418,-1.64516648
1890,KL,-1,3,1991,F,1,0,0.5,2,n,1.895256917,-1.666007905,0.114624506,2.445652174,5,0.775043477,0.695807884,-1.153985046,-0.173318477
1944,KL,0,5,1991,F,1,0,0.5,0,n,2.513833992,-1.453557312,0.53013834,4.293478261,3,2.933815407,1.930654045,-0.622527446,1.104105848
2493,KL,-4,10,1991,F,1,0,0.5,0,n,0.817193676,-2.206521739,-0.694664032,1.378458498,1,-0.471733894,-1.456296209,-2.506112056,-2.661333986
1131,SU,6,16,1991,F,0,-1,-0.5,0,n,4.590909091,-0.47826087,2.056324111,2.350790514,1,-0.50967443,0.611254453,1.35353073,1.051762173
